"Jelentés kezdete","Jelentés vége","Hirdetés neve",Hirdetésmegjelenítés,Eredmények,"Eredmény jelzése","Eredményenkénti költség","Hirdetéssorozat költségkerete","Hirdetéssorozat költségkeretének típusa","Elköltött összeg (HUF)",Megjelenések,Elérés,Gyakoriság,"CPM (1000 megjelenésre jutó költség) (HUF)",Vásárlások,Vége,"Hozzárendelés beállítása",Licitösszeg,Licittípus,"A legutóbbi jelentős módosítás","Minőségi rangsorolás","Aktivitási arányszám szerinti rangsorolás","Konverziós arány szerinti rangsorolás","Hirdetéssorozat neve","Vásárlási hirdetésmegtérülés (ROAS)"  
2023-06-17,2026-07-17,ad2,not\_delivering,,,,"Kampányszintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,Interest,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés – másolat – másolat",inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,Interest,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés",inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,Interest,  
2023-06-17,2026-07-17,ad2,inactive,12,actions:link\_click,19.41666667,400,Napi,233,1118,877,1.2748,208.407871,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,Interest,  
2023-06-17,2026-07-17,"2024\_05 - 50k",inactive,4066,actions:link\_click,6.20314806,400,Napi,25222,92014,46359,1.984814,274.110461,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,"2024\_06\_szerelmesek\_55e - Copy 2",not\_delivering,10709,actions:link\_click,8.01988981,400,Napi,85885,399148,202373,1.972338,215.170814,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,11\_BF\_30e,inactive,59,actions:link\_click,15.15254237,400,Napi,894,1551,1432,1.083101,576.402321,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,09\_oszikedvezmenyes,inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés – másolat",inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,ad2,inactive,1,actions:link\_click,64,400,Napi,64,579,441,1.312925,110.535406,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés",inactive,7706,actions:link\_click,7.41603945,400,Napi,57148,210994,104218,2.024545,270.851304,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,ad1,inactive,2119,actions:link\_click,12.98348277,400,Napi,27512,85043,42609,1.995893,323.506932,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,"Új „Forgalom” hirdetés – másolat – másolat",inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,11\_BF\_30e\_v2,inactive,619,actions:link\_click,10.94022617,400,Napi,6772,19399,12883,1.505783,349.090159,2,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,4.452156  
2023-06-17,2026-07-17,"2023\_karacsony\_35e – másolat",inactive,491,actions:link\_click,20.73930754,400,Napi,10183,39769,28853,1.378332,256.05371,2,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,3.550034  
2023-06-17,2026-07-17,2024\_02\_valentin,inactive,389,actions:link\_click,9.52699229,400,Napi,3706,15893,11050,1.438281,233.184421,2,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,9.686994  
2023-06-17,2026-07-17,2024\_02\_valentin\_utolsó,inactive,254,actions:link\_click,13.51968504,400,Napi,3434,13048,11574,1.127354,263.182097,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-08-23T12:16:48+0200,–,–,–,broad,  
2023-06-17,2026-07-17,recepciós\_férfi,not\_delivering,56,actions:leadgen.other,557.75,"Kampányszintű költségkeret használata",0,31234,36186,8477,4.268727,863.151495,,2025-06-06,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-07-26T12:53:36+0200,–,–,–,"Siófok +15km",  
2023-06-17,2026-07-17,recepciós\_női,not\_delivering,15,actions:leadgen.other,520.33333333,"Kampányszintű költségkeret használata",0,7805,9119,3588,2.541527,855.905253,,2025-06-06,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2024-07-26T12:53:36+0200,–,–,–,"Siófok +15km",  
2023-06-17,2026-07-17,üzletvezető,not\_delivering,29,actions:leadgen.other,420.10344828,"Kampányszintű költségkeret használata",0,12183,17438,6359,2.742255,698.646634,,2024-08-02,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"Siófok +15km",  
2023-06-17,2026-07-17,"2025\_12 - karácsonyi penthouse",inactive,10,actions:offsite\_conversion.fb\_pixel\_purchase,8090.6,25000,Napi,80906,55520,35988,1.542736,1457.240634,10,2025-12-24,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"2025\_12\_karácsonyi\_ Penthouse (100e) -",9.897906  
2023-06-17,2026-07-17,"2025\_12 - karácsonyi penthouse - v2",not\_delivering,13,actions:offsite\_conversion.fb\_pixel\_purchase,10511.15384615,25000,Napi,136645,120510,79884,1.508562,1133.889304,13,2025-12-24,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"2025\_12\_karácsonyi\_ Penthouse (100e) -",10.115994  
2023-06-17,2026-07-17,"2026\_02 deluxe 99e",not\_delivering,385,actions:link\_click,14.74805195,7000,Napi,5678,14540,13399,1.085156,390.508941,,2026-02-10,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–
